1365,564
1354,759
1293,779
1215,861
1139,852
1125,788
1076,835
998,844
1034,910
1092,964
1151,1023
1164,934
1230,965
1309,977
1328,890
1394,901
1375,825
1460,797
1486,889
1510,960
1583,970
1656,928
1642,1094
1534,1130
1553,1061
1478,1041
1450,1108
1377,1123
1397,1034
1329,1051
1254,1048
1193,1110
1287,1175
1299,1284
1227,1252
1154,1219
1088,1277
1019,1455
939,1519
928,1412
960,1317
870,1303
748,1281
805,1243
870,1219
973,1219
985,1129
1059,1167
1114,1106
1041,1055
960,999
935,1062
873,1119
791,1109
806,1005
778,946
809,877
919,875
887,792
813,722
736,731
794,809
722,888
659,824
605,789
642,705
597,657
645,614
575,584
564,425
716,493
754,593
827,577
884,660
936,586
964,664
1020,732
1063,659
1128,718
1199,697
1219,626
1270,666
1132,620
1030,1351
