877,265
895,335
840,391
832,492
764,551
736,615
815,645
873,601
1048,867
1138,852
1198,895
1282,920
1244,984
1158,956
1106,1018
1039,1050
1002,1107
983,1008
918,1018
850,1052
810,995
742,1106
676,1154
688,1227
623,1244
709,1294
729,1375
797,1416
861,1381
902,1588
915,1489
952,1361
899,1297
814,1263
838,1160
926,1141
979,1234
1015,1302
1051,1227
1120,1195
1077,1122
1141,1094
1207,1066
1222,1142
1229,1229
1345,1246
1409,1255
1450,1353
1600,1322
1548,1284
1555,1194
1424,1184
1367,1120
1289,1064
1347,1013
1446,1014
1490,886
1419,872
1377,762
1250,786
1283,698
1209,620
1147,586
1051,604
967,590
934,487
1024,448
1112,456
1075,390
1160,358
1131,272
991,304
953,372
1485,1269
1514,1106
1545,943
