641,1651
862,1393
937,1386
1008,1314
969,1260
1013,1200
1060,1144
1098,1199
1102,1265
1146,1330
1069,1389
1003,1460
1102,1457
1163,1477
1215,1576
1193,1674
1365,1777
1386,1714
1446,1754
1504,1783
1530,1724
1671,1156
1728,1126
1690,1030
1739,955
1808,904
1647,974
1613,915
1587,856
1382,742
1414,655
1341,636
1281,673
1219,703
1154,728
1088,796
1000,721
1054,676
1111,618
1193,608
1101,518
1067,459
1020,357
960,322
833,234
736,338
821,329
858,398
934,428
911,541
976,560
1033,527
1033,615
940,679
899,756
798,779
811,844
738,879
709,811
646,894
597,832
526,865
383,950
499,958
623,988
689,994
739,1040
770,950
853,925
918,922
894,857
958,835
1015,866
993,938
1029,1035
956,1077
925,1006
863,1029
859,1094
910,1157
838,1195
892,1284
783,1278
1271,1657
